sample,rep,place,spp,site,month,year,totalC,13C,totalN,CN,weight_pr,A595,ml_pr,ug/mL_pr,ug/gfw_pr,area,wet_wt,dry_wt,sla,mMol_gfw_no3,mgNO3,mg.gfw_no3
CsHL1,1,1,Cs,HL,5,2013,53.22330707,-25.63622882,5.23947948,10.15812874,0.1586,0.142,1,93,586.3808323,13.56,0.1191,0.0443,306.0948081,102.3882131,0.039929355,0.087029981
PaHL1,1,1,Pa,HL,5,2013,49.84685278,-28.41108058,4.5807483,10.88181439,0.207,0.1789,1.4,84,405.7971014,5.1,0.0835,0.054,94.44444444,125.3853867,0.046257804,0.09403904
CsHL1,1,1,Cs,HL,7,2013,54.00432821,-26.7136571,3.303553573,16.34734446,0.0637,0.0674,1.45,29.83908046,468.4314044,7.12,0.0753,0.0455,156.4835165,85.61545012,0.049353026,0.077053905
PaHL1,1,1,Pa,HL,7,2013,26.79647133,-28.43943838,2.187405416,12.25034515,0.0672,0.217,1.5,95.33333333,1418.650794,5.88,0.0648,0.0433,135.7967667,156.1493356,0.053203982,0.163956802
CsHL1,1,1,Cs,HL,10,2013,47.71757495,-27.61162726,2.946109974,16.1968071,0.0419,0.1549,1.5,67.73333333,1616.547335,5.57,0.0493,0.0253,220.1581028,147.0054896,0.027272458,0.117604392
PaHL1,1,1,Pa,HL,10,2013,50.92034528,-28.8863429,4.997964128,10.18821744,0.0645,0.1074,1.5,46.62222222,722.8251507,3.81,0.0643,0.0368,103.5326087,217.7071801,0.115798449,0.21770718
CsHL2,2,2,Cs,HL,5,2013,49.58133926,-26.42802445,5.327432153,9.306798817,0.0524,0.0926,1.35,44.49382716,849.1188389,3.6,0.0426,0.0306,117.6470588,58.71660884,0.039193336,0.073395761
CsHL2,2,2,Cs,HL,7,2013,55.12706017,-26.93716828,2.537394775,21.72585075,0.0634,0.0674,1.65,26.22222222,413.5997196,10.24,0.1178,0.0654,156.5749235,106.6665885,0.04159197,0.079999941
CsHL2,2,2,Cs,HL,10,2013,47.39365189,-27.39967777,2.543951871,18.6299326,0.0932,0.1188,1.5,51.68888889,554.6018121,4.45,0.0847,0.0474,93.88185654,222.6324111,0.090767234,0.20036917
CstiHL3,3,3,Csti,HL,5,2013,52.36370516,-28.45628218,5.217713677,10.03575673,0.075,0.0777,1.3,38.56410256,514.1880342,3.45,0.0317,0.0144,239.5833333,59.28070665,0.021003154,0.04446053
PaHL3,3,3,Pa,HL,5,2013,50.18754178,-29.52275958,5.097654027,9.845223217,0.078,0.0632,1.25,32.37333333,415.042735,6.14,0.0448,0.0158,388.6075949,181.3933501,0.038266741,0.10883601
CstiHL3,3,3,Csti,HL,7,2013,49.95121194,-34.33351895,5.150149323,9.698983235,0.0347,0.0655,1.4,30,864.5533141,6.09,0.0474,0.0156,390.3846154,13.33549611,0.008339686,0.01666937
PaHL3,3,3,Pa,HL,7,2013,53.98067438,-29.52772129,5.775418557,9.346625504,0.055,0.0701,1.5,30.04444444,546.2626263,8.71,0.0522,0.0289,301.384083,59.88983938,0.024663534,0.068873315
CstiHL3,3,3,Csti,HL,10,2013,49.4306045,-32.60091864,3.538513843,13.96931217,0.0777,0.1014,1.5,43.95555556,565.7085657,5.33,0.0832,0.0288,185.0694444,101.3561648,0.033528619,0.101356165
PaHL3,3,3,Pa,HL,10,2013,46.70492893,-29.30878035,5.425851806,8.607851928,0.0343,0.0327,1.5,13.42222222,391.3184321,7.25,0.0777,0.0224,323.6607143,110.6453261,0.03361405,0.110645326
CsHL4,4,4,Cs,HL,5,2013,47.31073384,-27.40273611,4.003485493,11.81738611,0.0828,0.1197,1.35,57.87654321,698.9920678,4.55,0.0277,0.0182,250,63.37369401,0.026483867,0.047530271
PaHL4,4,4,Pa,HL,5,2013,41.09179418,-29.01415566,5.310373953,7.738022697,0.1101,0.1224,1.35,59.20987654,537.7827116,4.44,0.0425,0.0147,302.0408163,54.88314056,0.025734705,0.054883141
CsHL4,4,4,Cs,HL,7,2013,56.33420082,-26.84994467,3.483707922,16.17075888,0.0204,0.0147,1.5,5.422222222,265.795207,3.22,0.0541,0.0236,136.440678,52.08066081,0.027088454,0.049476628
PaHL4,4,4,Pa,HL,7,2013,52.68149813,-27.24574455,5.113101382,10.30323754,0.192,0.1263,1.4,58.95238095,307.0436508,7.8,0.0504,0.0251,310.7569721,130.4576439,0.03488894,0.136980526
CsHL4,4,4,Cs,HL,10,2013,51.9642688,-27.18471047,2.641476544,19.67243242,0.0302,0.113,1.5,49.11111111,1626.195732,5.83,0.0811,0.0594,98.14814815,99.38700368,0.039804495,0.074540253
PaHL4,4,4,Pa,HL,10,2013,49.10068676,-31.14797756,4.756704635,10.32241657,0.06,0.0977,1.5,42.31111111,705.1851852,13.5,0.1296,0.0469,287.8464819,74.80931114,0.021844319,0.074809311
ClRL1,1,5,Cl,RL,5,2013,53.2259291,-27.75825973,3.310363162,16.07857703,0.1014,0.3949,1.2,218,2149.901381,11.63,0.1287,0.0659,176.4795144,39.69684644,0.012933233,0.029772635
ClRL1,1,5,Cl,RL,5,2013,48.04924057,-26.76950396,4.376217437,10.97962824,0.051,0.0585,1.5,24.88888889,488.0174292,12.35,0.111,0.0387,319.121447,,,
PaRL1,1,5,Pa,RL,5,2013,50.88607263,-28.29784452,5.905969459,8.616040598,0.1166,0.2071,1.5,90.93333333,779.8742138,8.67,0.1898,0.0936,92.62820513,79.33346316,0.025116974,0.079333463
PaRL2,2,6,Pa,RL,5,2013,48.4952469,-28.50730735,4.907074843,9.882720042,0.1045,0.1071,1.25,55.78666667,533.8437002,12.15,0.1306,0.0475,255.7894737,95.82274377,0.045324637,0.091031607
PaRL2,2,6,Pa,RL,7,2013,54.19010383,-27.50261406,5.603302207,9.671101402,0.0344,0.0609,1.6,24.33333333,707.3643411,9.97,0.0809,0.0514,193.9688716,105.8353408,0.030702832,0.105835341
PaRL2,2,6,Pa,RL,10,2013,51.43859253,-29.30851784,4.267810173,12.05268989,0.0703,0.1059,1.5,45.95555556,653.7063379,9.23,0.1286,0.0432,213.6574074,96.75215591,0.026227574,0.08707694
CsRL3,3,7,Cs,RL,5,2013,51.39992806,-25.16259483,4.70953136,10.91402183,0.0923,0.0698,1.5,29.91111111,324.0640424,3.48,0.0419,0.0202,172.2772277,57.32673864,0.021923178,0.042995054
CsRL3,3,7,Cs,RL,7,2013,53.28045359,-25.90261035,3.10356781,17.16748492,0.0242,0.0362,1.45,15.49425287,640.2583832,2.89,0.0295,0.023,125.6521739,197.7922009,0.085036801,0.168123371
CsRL3,3,7,Cs,RL,10,2013,46.31801113,-27.62779958,2.836818129,16.32745175,0.0663,0.151,1.5,66,995.4751131,6.18,0.17,0.0842,73.39667458,107.9534591,0.028613064,0.05397673
PaRL4,4,8,Pa,RL,5,2013,47.66159141,-28.54013946,3.90599834,12.20215352,0.0764,0.042,1.4,18.80952381,246.1979556,12.31,0.1601,0.0575,214.0869565,,,
